编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
103,115060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,9.6,9.96,1.4,1.04,-0.35,-0.516421888878232,-0.495887508414896,15109.0
104,32710,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7.17,6.93,1.17,0.93,0.24,-0.471711476894939,-0.494657246198685,9499.0
105,66761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,5,5.93,5.43,0.93,0.43,0.49,-0.0849441286263802,-0.0265820878126327,11050.0
106,261497,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,54,33.76,33.85,20.24,20.15,-0.09,-0.168921108270564,-0.0428234320305306,11198.0
107,118649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,8.2,8.44,0.2,0.44,-0.24,-0.483612952931515,-0.487224812867785,5271.0
108,188661,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,8,5.09,5.23,2.91,2.77,-0.14,-0.145370740155906,-0.591958402102114,3007.0
109,300825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,6,7.11,6.68,1.11,0.68,0.44,-0.332067707824749,-0.209467911321616,2218.0
110,279143,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,5.18,4.71,0.82,1.29,0.47,0.119985728642766,0.0245288393211308,1991.0
111,296390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,7,5.85,5.87,1.15,1.13,-0.02,-0.0094302415277225,-0.0625428292624868,13104.0
112,31381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,5.72,5.5,0.72,0.5,0.23,-0.501633550459699,-0.446978743924845,11842.0
113,5387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10,6.1,6.46,3.9,3.54,-0.36,-0.130485055271877,-0.245959831948873,13254.0
114,156584,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,8.83,9.22,1.17,0.78,-0.39,-0.562826628172982,-0.459829268974738,8139.0
